This is a logfile generated by analyze.py - lines containing the following: 1. filenames of the fitted spectra 2. names of the evaluated parameters 3. fitparameters of the spectra (one line for every parameter, in order of the filenames, this applies to the rest of the file) 4. errors of the fitparameters 5. evaluated properties 6. errors of the properties
...time2/time0 ...time2/time1 ...time2/time2 ...time2/time4 ...time2/time5 ...time2/time6 ...time2/time8 ...ime2/time10
lockPointX lockPointY
-149.82610472 -117.881205554 -102.939550084 -93.8466454375 -96.0571944806 -114.607289203 -119.050545456 -80.6289962763
-57.2099432553 -45.0568119575 -39.2687806602 -35.87497806 -36.6905229589 -43.7936897649 -45.5471603466 -30.7639231903
-5.46051946863 -4.30509603186 -3.74474588221 -3.42809982339 -3.50368717144 -4.18306368518 -4.35595797169 -2.93429278339
0.00614183192601 0.00615099589413 0.0289086527474 0.00653305114925 0.040991305818 0.00408143673747 0.00542958345235 0.00565977832745
-5.27713536994 -5.27687185318 -5.27533450002 -5.27623097684 -5.2752265202 -5.27699741552 -5.27688889865 -5.27720440416
0.00650118477649 0.00656168207859 0.00934602542516 0.00668231319357 0.00937138928553 0.00532219994341 0.00606632260939 0.00628747107777
-0.0102755447512 -0.00960236320613 -0.0313004530156 -0.00948519316415 -0.0431511714333 -0.00493845129344 -0.00765545596684 -0.00797385226485
-5.26793212854 -5.26827586969 -5.27377346384 -5.26827499653 -5.27419785833 -5.26563978479 -5.26788938162 -5.26825163355
0.0164238549595 0.0152845799526 0.0114770534705 0.0140217087986 0.0107966352081 0.0115567656593 0.013804053635 0.0138901196933
0.00507909002789 0.00498353719004 0.0042706153291 0.00502238422787 0.00395690523916 0.00441769168812 0.00458186277698 0.00486600221173
-5.25564031627 -5.25596475676 -5.25521914796 -5.2554612678 -5.25532082986 -5.25568974202 -5.25566071368 -5.25586706764
0.00549161302015 0.00540590316374 0.00507021475126 0.00562585961112 0.00494629011281 0.00510538507735 0.00518861309274 0.00548665146157
0.00376334357488 0.00392462627678 0.00394908630428 0.0040124264098 0.00367097381718 0.00391633650396 0.00384740284571 0.00385747974115
-5.20747735468 -5.20781819932 -5.2074507855 -5.20765526195 -5.20729745259 -5.2078578096 -5.20759495805 -5.20808448759
0.00502279811713 0.00515480728022 0.00521913536117 0.00523827140581 0.00495312531033 0.0050867526091 0.0050240491566 0.00519913405894
0.00367584752918 0.00379607301047 0.00403058884284 0.00401391665929 0.00385208742754 0.00413665126968 0.00402093179512 0.00407734563122
-5.19120016914 -5.19132795253 -5.19079896553 -5.19091713828 -5.19095062812 -5.19114163966 -5.19111077573 -5.19148145675
0.00423595403103 0.00438321945703 0.00474535075038 0.00476417184076 0.0044665320254 0.00473762253995 0.00467901802056 0.00474096041051
0.0038332151794 0.00385157888033 0.00380226560531 0.00374966293626 0.00372530753026 0.00382543907715 0.00378858039753 0.00381526360011
-5.17478824655 -5.17501836361 -5.17464696049 -5.17470786446 -5.17478990737 -5.17470274002 -5.17469754621 -5.17510483794
0.00475416263736 0.00482733745781 0.00461013494325 0.00454168090594 0.00463039078944 0.00473982344651 0.00468650714365 0.00458067783501
0.0442042967112 0.0478440135228 0.0632395265655 0.0611514635491 0.0538263810134 0.0444727606762 0.0561645800046 0.0592836363392
0.000164540228937 0.000242045451065 0.000196815392782 0.000205533526035 0.000170282924088 0.000158254254589 0.000186959353444 0.000266582123603
0.00164819519214 0.00180516564479 0.00234689148785 0.00227386341871 0.00199649726398 0.0016475204493 0.00208995110091 0.00225100040109
0.000668749124617 0.000828476877833 0.00204897062257 0.00202244828159 0.00279395233551 0.000394289417993 0.00119490460856 0.00117344416124
0.000157113791963 0.000188976196179 0.00023435963737 0.000328283684029 0.000213736108484 0.000121382158093 0.00023214669158 0.000266874051126
0.000405632592852 0.000448230882074 0.000426752793767 0.000845189771817 0.000427931462415 0.00025827709618 0.000622520832308 0.000580236356612
0.00123759391525 0.00138568396576 0.00261796026342 0.00225196592887 0.0032676817045 0.0011332534141 0.00155223466398 0.00164088864718
0.000751656132526 0.000820658110487 0.000371654508137 0.00266606538038 0.000294519263307 0.00124689026415 0.00239071608405 0.00243409937914
0.000774344895591 0.000781749218762 0.000692664313416 0.00105319906606 0.000593207560791 0.00150158697056 0.00115477539248 0.00144942941962
0.000413296238822 0.00040094160068 0.000346921890472 0.000663540019743 0.000301378467707 0.000567273804877 0.000588720653778 0.000810262090042
0.00010757825534 0.000107682855805 0.000138782552624 0.000167692225311 0.000131364486506 0.000149834860436 0.00014692189091 0.000184775453754
0.000289554515857 0.000286868557003 0.000293563801696 0.000425962703078 0.000270045664717 0.000366441447538 0.000395527794524 0.000518345733899
0.000109189982813 0.000118779964545 0.000140046824663 0.000146203019808 0.000110891068222 0.000112103904556 0.000124617027337 0.000141737134985
0.000105745493103 0.000109692923026 0.000123701216491 0.000124647536271 0.000115142359915 9.79692260224e-05 0.000110735671648 0.000131304225422
0.000170937076345 0.000183273460868 0.00021199012359 0.000218680518299 0.000174474634331 0.000170289362644 0.000187665335733 0.000220895403068
0.000110616371579 0.000126660771207 0.000149942510278 0.00015271245046 0.000124416408199 0.000124196485164 0.000139212570021 0.000154651027747
8.51096898299e-05 9.20292749243e-05 0.000107746444564 0.000110292518758 9.50645349146e-05 8.7182713143e-05 9.59184393272e-05 0.000111511566923
0.000145837863059 0.000169585724179 0.000200607095995 0.000203868876428 0.000165442716695 0.000162455126229 0.000184334293763 0.000204532634697
0.00011238589725 0.000127177038602 0.000137488068655 0.000134782271589 0.000121546731734 0.000112659358164 0.00012796300482 0.000134720823595
